Building Type,Attribute Type,Incremental Change
apartment-highrise,air_leakage,0.009548273509130265
apartment-highrise,dhw,0.1461327985195863
apartment-highrise,equipment_density,0.08565340515384393
apartment-highrise,lighting_density,0.059627992423359366
apartment-highrise,oa_area,0.024761754434399475
apartment-highrise,oa_person,0.07699156586343095
apartment-highrise,setpoint,0.07615750191436653
apartment-midrise,air_leakage,0.011978349199999998
apartment-midrise,dhw,0.1411707966
apartment-midrise,equipment_density,0.0877810126
apartment-midrise,lighting_density,0.060909979
apartment-midrise,oa_area,0.025947022400000002
apartment-midrise,oa_person,0.0751318554
apartment-midrise,setpoint,0.06818484400000001
hotel-large,air_leakage,0.003424
hotel-large,dhw,0.14478800000000003
hotel-large,equipment_density,0.040026
hotel-large,gas,0.016128
hotel-large,lighting_density,0.021568
hotel-large,oa_area,0.004146
hotel-large,oa_person,0.002676
hotel-large,setpoint,0.08695
hotel-small,air_leakage,0.0020815622
hotel-small,dhw,0.0308929768
hotel-small,equipment_density,0.060464698399999996
hotel-small,gas,0.012580428599999999
hotel-small,lighting_density,0.0760066792
hotel-small,oa_area,0.010337583000000001
hotel-small,oa_person,0.053495041800000004
hotel-small,setpoint,0.0614744838
office-large,air_leakage,0.0082
office-large,dhw,0.0496
office-large,equipment_density,0.0852
office-large,lighting_density,0.0696
office-large,oa_area,0.06799999999999999
office-large,oa_person,0.0034000000000000002
office-large,setpoint,0.06060000000000001
office-medium,air_leakage,0.0132
office-medium,dhw,0.0428
office-medium,equipment_density,0.0168
office-medium,lighting_density,0.023799999999999998
office-medium,oa_area,0.1486
office-medium,oa_person,0.0126
office-medium,setpoint,0.0744
office-small,air_leakage,0.02718153085062524
office-small,equipment_density,0.06887061877974901
office-small,lighting_density,0.06465014352294825
office-small,oa_area,0.013350458715596328
office-small,oa_person,0.005717290860598743
office-small,setpoint,0.09475633633590042
residential-care,air_leakage,0.0053210342
residential-care,dhw,0.3494840658
residential-care,equipment_density,0.0689399718
residential-care,lighting_density,0.21655571040000002
residential-care,oa_area,0.2562300744
residential-care,oa_person,0.058840788
restaurant-full-service,air_leakage,0.000934504453055319
restaurant-full-service,dhw,0.005647956524599118
restaurant-full-service,equipment_density,0.04713865947063631
restaurant-full-service,gas,0.09080035203106687
restaurant-full-service,lighting_density,0.01894983150861496
restaurant-full-service,oa_area,0.0026845104084894595
restaurant-full-service,oa_person,0.048692850609033556
restaurant-full-service,setpoint,0.04587611292440007
restaurant-quick-service,air_leakage,0.0005422836649699213
restaurant-quick-service,dhw,0.007890816405781122
restaurant-quick-service,equipment_density,0.06975513911526668
restaurant-quick-service,gas,0.049273925505074576
restaurant-quick-service,lighting_density,0.013500212799864644
restaurant-quick-service,oa_area,0.0029127076726627706
restaurant-quick-service,oa_person,0.04544297418261583
restaurant-quick-service,setpoint,0.04591635927826243
retail-stand-alone,air_leakage,0.038250050292310316
retail-stand-alone,equipment_density,0.06788573524557574
retail-stand-alone,lighting_density,0.0007755414252638845
retail-stand-alone,oa_area,0.01879761526330605
retail-stand-alone,oa_person,0.04717448663483376
retail-stand-alone,setpoint,0.09673354339310307
retail-strip-mall,air_leakage,0.04262992918230718
retail-strip-mall,equipment_density,0.05612002798174339
retail-strip-mall,lighting_density,0.0035436344554717163
retail-strip-mall,oa_area,0.02674925911069294
retail-strip-mall,oa_person,0.05622186843976322
retail-strip-mall,setpoint,0.10348344970873452
retail-supermarket,air_leakage,0.0165455626
retail-supermarket,equipment_density,0.032064809599999994
retail-supermarket,gas,0.001045303
retail-supermarket,lighting_density,0.0392525928
retail-supermarket,oa_area,0.011218390200000001
retail-supermarket,oa_person,0.0025228912000000003
retail-supermarket,setpoint,0.0569256556
school-primary,air_leakage,0.01431227394111483
school-primary,dhw,0.011731170583151054
school-primary,equipment_density,0.07624420212688286
school-primary,gas,0.007893736913164046
school-primary,lighting_density,0.0075376942281510624
school-primary,oa_area,0.005966862690943517
school-primary,oa_person,0.028489175189391328
school-primary,setpoint,0.03330737531889184
school-secondary,air_leakage,0.002
school-secondary,dhw,0.0
school-secondary,equipment_density,0.11000000000000001
school-secondary,gas,0.018
school-secondary,lighting_density,0.0
school-secondary,oa_area,0.002
school-secondary,oa_person,0.0
school-secondary,setpoint,0.034
warehouse,air_leakage,0.05264
warehouse,equipment_density,0.043399999999999994
warehouse,lighting_density,0.0973
warehouse,oa_area,0.09401999999999999
warehouse,oa_person,0.00486
