key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete MW Solid Grouted
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
infiltration_schedule,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_dining,,,
lighting_density_kitchen,,,
lighting_schedule,,,
lighting_schedule_refrig,,,
equipment_density_dining,,,
equipment_fraction_latent_dining,,,
equipment_fraction_radiant_dining,,,
equipment_fraction_lost_dining,,,
equipment_density_kitchen,,,
equipment_fraction_latent_kitchen,,,
equipment_fraction_radiant_kitchen,,,
equipment_fraction_lost_kitchen,,,
equipment_density_kitchen_exhfan,,,
equipment_fraction_latent_kitchen_exhfan,,,
equipment_fraction_radiant_kitchen_exhfan,,,
equipment_fraction_lost_kitchen_exhfan,,,
gas_max_kitchen,,,
gas_fraction_latent_kitchen,,,
gas_fraction_radiant_kitchen,,,
gas_fraction_lost_kitchen,,,
equipment_schedule,,,
equipment_schedule_kitchen_exhfan,,,
gas_schedule,,,
occupant_density_dining,,,
occupant_density_kitchen,,,
occupant_schedule,,,
dhw_kitchen,,,
dhw_temp_kitchen,,,
dhw_schedule_kitchen,,,
peak_draw_time,,,
storage_recovery_time,,,
internal_mass_area_ratio,,,
heating_setpoint,,,
cooling_setpoint,,,
heating_setpoint_setback,,,
cooling_setpoint_setup,,,
heating_setpoint_kitchen,,,
cooling_setpoint_kitchen,,,
heating_setpoint_kitchen_setback,,,
cooling_setpoint_kitchen_setup,,,
oa_person_dining,,,
oa_person_kitchen,,,
oa_area_dining,,,
oa_area_kitchen,,,
minoa_schedule,,,
minfracoa_schedule,,,
zone_hvac_dining,,,SZDX,RTU,VRF,ASHP,PTAC
zone_hvac_kitchen,,,RTU,MAHU,VRF,ASHP,PTAC
supply_fan_type_rtu,,,CONSTANT,VARIABLE
fan_eff_dining,,,
fan_eff_kitchen,,,
fan_rise,,,
fan_motor_eff_dining,,,
fan_motor_eff_kitchen,,,
return_fan_dining,,,false,true
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
heating_coil_eff_dining,,,
heating_coil_eff_kitchen,,,
heating_coil_cop_dining,,,
heating_coil_cop_kitchen,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER
cooling_coil_cop_dining,,,
cooling_coil_cop_kitchen,,,
economizer_type_dining,,,NoEconomizer,DifferentialDryBulb
economizer_type_kitchen,,,NoEconomizer,DifferentialDryBulb
economizer_high_limit_dining,,,
economizer_lockout_dining,,,
economizer_high_limit_kitchen,,,
economizer_lockout_kitchen,,,
economizer_max_oa_frac,,,
night_cycle,,,false,true
loss_factor,,,
exhaust_fan,,,false,true
exhaust_fan_eff,,,
exhaust_fan_rise,,,
exhaust_fan_flow_dining,,,
exhaust_fan_flow_kitchen,,,
operation_schedule,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating
water_heater_eff,,,
supply_dhw_temp,,,
pump_eff_dhw,,,
pump_head_dhw,,,
dhw_recovery,,,false,true
daylighting_controls,,,true,false
top_daylighting,,,NONE,SKYLIGHT,TUBULAR
solar_hot_water,,,true,false
solar_collector_type,,,GLAZED-FLAT-PLATE,TUBULAR
solar_collector_performance,,,LOW,MEDIUM,HIGH
solar_collector_fraction_usable_roof_area,,,
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
heating_setpoint_sch_dining,,,
cooling_setpoint_sch_dining,,,
heating_setpoint_sch_kitchen,,,
cooling_setpoint_sch_kitchen,,,
